"v1013","mes_nome","faixa_etaria","raca","faixa_renda","plano_saude","n_amostra","populacao_estimada","pct_diabetes","pct_hipertensao","pct_asma","pct_doenca_coracao","pct_depressao","pct_cancer","pct_alguma_comorbidade","pct_internado_entre_atendidos","pct_entubado_entre_internados"
"10","Outubro","50-59","Branca","Ate 1 SM","Nao","2566","1150607.0","9.6018","27.3261","3.745","3.8811","4.7543","1.2294","37.0947","14.8781","0.0"
"10","Outubro","0-17","Parda","Ate 1 SM","Sim","60","42647.0","0.0","0.0","1.9262","2.8203","2.0459","0.0","6.7924","0.0",
"10","Outubro","18-29","Indigena","Sem informacao","Nao","146","54675.0","0.0","1.2058","4.4156","0.436","1.7422","0.0","6.5938",,
"9","Setembro","18-29","Preta","Ate 1 SM","Sim","161","133655.0","3.3194","4.3736","9.6896","0.0","2.1313","0.0","15.7492",,
"10","Outubro","30-39","Parda","Ate 1 SM","Nao","5981","3108062.0","1.5545","4.7597","3.7106","0.7708","2.1907","0.2181","11.3465","9.678","0.0"
"10","Outubro","50-59","Parda","Ate 1 SM","Nao","4171","1761610.0","9.2227","24.2716","3.678","2.5041","3.2539","0.6295","32.8057","9.2859","0.0"
"9","Setembro","18-29","Parda","1 a 2 SM","Sim","1196","943578.0","0.1322","1.3074","5.9213","0.6882","1.8578","0.2076","9.7447","0.0",
"9","Setembro","30-39","Preta","1 a 2 SM","Nao","1081","712042.0","0.8367","5.6796","4.2035","0.9884","1.0386","0.1948","11.4322","12.9956","0.0"
"9","Setembro","60+","Parda","1 a 2 SM","Nao","1019","443938.0","12.7017","34.5083","3.3193","4.4091","1.8835","0.9853","42.5268","0.0",
"9","Setembro","60+","Branca","Acima 4 SM","Sim","1009","556891.0","16.9391","38.0373","6.7342","8.5339","5.6638","5.302","56.4591","0.0",
