"v1013","mes_nome","uf","regiao","n_amostra","populacao_estimada","pct_sem_plano","pct_ate_1_sm_entre_renda_informada","pct_informal_entre_ocupados_com_info","pct_baixa_protecao_domiciliar","media_itens_protecao"
"9","Setembro","43","Sul","22469","1.1412334E7","64.167","19.2748","17.2632","0.1004","4.4864"
"10","Outubro","35","Sudeste","32440","4.6383994E7","59.909","16.4078","17.5378","0.2024","4.4723"
"10","Outubro","33","Sudeste","29028","1.7390505E7","65.1908","21.111","17.82","0.1548","4.4014"
"9","Setembro","35","Sudeste","33477","4.6353803E7","60.2135","15.6292","16.9666","0.2281","4.4654"
"11","Novembro","42","Sul","23432","7271428.0","73.4282","13.3771","13.575","0.1882","4.4994"
"11","Novembro","41","Sul","19872","1.1532178E7","69.1197","18.76","17.3221","0.0557","4.3758"
"10","Outubro","21","Nordeste","20137","7091003.0","93.0904","58.4154","44.0936","0.2366","4.1661"
"10","Outubro","17","Norte","5170","1581932.0","85.2567","46.3905","40.1344","0.0193","4.2269"
"11","Novembro","32","Sudeste","15863","4076377.0","71.6776","34.1384","23.4768","0.2014","4.2352"
"11","Novembro","33","Sudeste","29065","1.7398657E7","65.0893","21.4829","17.8171","0.1991","4.3898"
