"v1013","mes_nome","sexo","escolaridade","n_amostra","populacao_estimada","pct_trabalhou","pct_afastado_trabalho","pct_home_office","pct_internado_entre_atendidos","pct_entubado_entre_internados"
"10","Outubro","Masculino","Pos-graduacao","3702","2385824.0","83.1998","20.2356","97.0145","6.7248","0.0"
"10","Outubro","Masculino","Fundamental incompleto","65106","3.3005228E7","48.0382","6.6134","3.6724","15.3049","16.4056"
"10","Outubro","Feminino","Fundamental completo","13071","6903808.0","28.7196","6.3514","43.4616","8.5399","16.2795"
"10","Outubro","Feminino","Fundamental incompleto","63473","3.1575264E7","21.1255","4.1604","29.5686","11.8256","28.3756"
"10","Outubro","Feminino","Sem instrucao","20425","1.1368479E7","7.5932","1.1811","23.4396","17.9643","30.3686"
"10","Outubro","Feminino","Superior incompleto","10626","6583785.0","47.4092","10.6537","88.8514","5.0231","22.3353"
"10","Outubro","Masculino","Medio completo","39405","2.4286984E7","67.8603","13.3913","33.6506","8.994","18.5464"
"10","Outubro","Masculino","Medio incompleto","18174","1.046815E7","44.5261","5.0779","11.3421","4.1637","41.1926"
"10","Outubro","Feminino","Medio completo","45380","2.5933932E7","42.7662","9.7929","66.3691","9.4684","52.4808"
"10","Outubro","Masculino","Superior completo","14055","9119634.0","75.7693","17.0531","91.131","3.584","0.0"
